timestamp_utc,country,target,temperature_2m_p1,relative_humidity_2m_p1,shortwave_radiation_p1,wind_speed_100m_ms_p1,wind_dir_sin_p1,wind_dir_cos_p1,temperature_2m_p2,relative_humidity_2m_p2,shortwave_radiation_p2,wind_speed_100m_ms_p2,wind_dir_sin_p2,wind_dir_cos_p2,temperature_2m_p3,relative_humidity_2m_p3,shortwave_radiation_p3,wind_speed_100m_ms_p3,wind_dir_sin_p3,wind_dir_cos_p3,temperature_2m_p4,relative_humidity_2m_p4,shortwave_radiation_p4,wind_speed_100m_ms_p4,wind_dir_sin_p4,wind_dir_cos_p4,deg_proxy,source,updated_at_utc
2026-04-20 00:00:00+00:00,DE,onshore,8.6,84,0.0,11.64,-0.3746065934159123,0.9271838545667872,6.4,94,0.0,8.67,0.7431448254773942,0.6691306063588582,5.9,87,0.0,1.87,0.7313537016191705,0.6819983600624985,7.2,87,0.0,9.24,-0.7547095802227722,0.656059028990507,10.975,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 01:00:00+00:00,DE,onshore,8.6,85,0.0,12.65,-0.2249510543438653,0.9743700647852352,6.3,89,0.0,8.94,0.7193398003386511,0.6946583704589973,5.4,87,0.0,1.06,0.5591929034707469,0.8290375725550417,6.1,83,0.0,10.64,-0.6018150231520483,0.7986355100472928,11.4,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 02:00:00+00:00,DE,onshore,8.5,87,0.0,8.16,0.7771459614569709,0.6293203910498374,5.8,87,0.0,8.65,0.6293203910498374,0.7771459614569709,5.8,84,0.0,1.23,0.484809620246337,0.8746197071393957,5.5,85,0.0,9.55,-0.6293203910498378,0.7771459614569706,11.6,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 03:00:00+00:00,DE,onshore,7.1,87,0.0,9.6,0.8090169943749475,0.5877852522924731,5.7,90,0.0,8.81,0.6819983600624985,0.7313537016191705,5.2,92,0.0,0.62,0.9510565162951536,0.3090169943749474,4.9,87,0.0,9.43,-0.7880107536067218,0.6156614753256585,12.275,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 04:00:00+00:00,DE,onshore,6.4,86,0.0,9.31,0.8660254037844386,0.5000000000000001,5.7,91,0.0,8.18,0.6946583704589973,0.7193398003386512,4.6,91,0.0,0.1,-1.0,-1.8369701987210287e-16,4.6,88,0.0,10.37,-0.7771459614569708,0.6293203910498375,12.675,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 05:00:00+00:00,DE,onshore,5.9,87,5.0,7.82,0.788010753606722,0.6156614753256583,6.0,89,10.0,9.01,0.7071067811865475,0.7071067811865476,4.5,89,9.0,1.74,-0.2756373558169989,0.9612616959383188,4.2,92,5.0,9.95,-0.8290375725550416,0.559192903470747,12.85,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 06:00:00+00:00,DE,onshore,6.3,82,26.0,6.23,0.6018150231520483,0.7986355100472928,6.3,84,45.0,7.97,0.7313537016191705,0.6819983600624985,5.3,93,72.0,2.07,-0.0871557427476583,0.9961946980917455,4.1,94,18.0,9.39,-0.7986355100472932,0.6018150231520479,12.5,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 07:00:00+00:00,DE,onshore,6.8,77,63.0,8.11,0.2079116908177593,0.9781476007338056,6.7,76,87.0,10.06,0.754709580222772,0.6560590289905073,8.7,80,199.0,1.67,0.3583679495453002,0.9335804264972016,4.2,95,39.0,8.88,-0.7431448254773946,0.6691306063588578,11.4,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 08:00:00+00:00,DE,onshore,7.6,80,131.0,9.62,0.2588190451025207,0.9659258262890684,8.2,71,257.0,10.27,0.788010753606722,0.6156614753256583,9.8,68,300.0,2.21,0.224951054343865,0.9743700647852352,4.5,94,77.0,8.43,-0.7771459614569708,0.6293203910498375,10.475,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 09:00:00+00:00,DE,onshore,7.7,77,200.0,10.91,0.3090169943749474,0.9510565162951536,9.6,66,505.0,9.38,0.766044443118978,0.6427876096865394,11.7,56,398.0,2.45,-0.6018150231520483,0.7986355100472928,5.2,92,117.0,7.1,-0.6293203910498378,0.7771459614569706,9.45,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 10:00:00+00:00,DE,onshore,7.6,80,167.0,11.35,0.4539904997395468,0.8910065241883679,10.2,64,677.0,10.4,0.7313537016191705,0.6819983600624985,12.5,51,484.0,2.92,-0.6427876096865396,0.7660444431189778,5.7,93,131.0,6.76,-0.5000000000000004,0.8660254037844384,9.0,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 11:00:00+00:00,DE,onshore,8.5,72,372.0,9.98,0.6819983600624985,0.7313537016191705,10.6,59,740.0,12.49,0.7431448254773942,0.6691306063588582,13.2,49,593.0,4.49,-0.5877852522924734,0.8090169943749473,5.9,94,115.0,6.12,-0.7660444431189781,0.6427876096865393,8.450000000000001,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 12:00:00+00:00,DE,onshore,9.5,68,571.0,11.11,0.7986355100472928,0.6018150231520483,10.3,61,753.0,12.82,0.7313537016191705,0.6819983600624985,13.8,47,648.0,4.65,-0.5000000000000004,0.8660254037844384,7.0,93,198.0,4.52,-0.8660254037844386,0.5000000000000001,7.85,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 13:00:00+00:00,DE,onshore,10.1,63,660.0,12.36,0.8829475928589269,0.4694715627858908,10.1,59,710.0,13.1,0.7193398003386511,0.6946583704589973,14.1,43,786.0,5.3,-0.4226182617406992,0.90630778703665,7.4,93,116.0,4.03,-0.9510565162951536,0.3090169943749472,7.575000000000001,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 14:00:00+00:00,DE,onshore,9.7,60,631.0,13.19,0.8910065241883679,0.4539904997395468,9.7,59,620.0,13.3,0.6946583704589973,0.7193398003386512,14.3,39,614.0,4.97,-0.3746065934159123,0.9271838545667872,9.2,87,267.0,3.69,-0.9563047559630354,0.2923717047227367,7.274999999999999,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 15:00:00+00:00,DE,onshore,9.6,58,538.0,12.91,0.8660254037844386,0.5000000000000001,8.8,60,477.0,13.03,0.6819983600624985,0.7313537016191705,14.0,34,582.0,4.06,-0.3420201433256686,0.9396926207859084,9.1,90,191.0,3.55,-0.9135454576426012,0.4067366430757997,7.625,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 16:00:00+00:00,DE,onshore,9.4,56,396.0,13.15,0.8829475928589269,0.4694715627858908,7.6,60,342.0,12.82,0.7313537016191705,0.6819983600624985,13.4,41,392.0,4.19,-0.6018150231520483,0.7986355100472928,9.3,89,121.0,4.0,-0.9271838545667874,0.3746065934159119,8.075,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 17:00:00+00:00,DE,onshore,9.1,56,247.0,14.15,0.8829475928589269,0.4694715627858908,6.7,61,179.0,12.83,0.7431448254773942,0.6691306063588582,12.8,42,235.0,5.04,-0.4067366430758001,0.9135454576426008,9.0,93,86.0,0.89,0.1045284632676534,0.9945218953682732,8.6,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 18:00:00+00:00,DE,onshore,8.7,57,97.0,13.83,0.9205048534524404,0.3907311284892737,5.9,66,49.0,12.56,0.7431448254773942,0.6691306063588582,11.3,46,72.0,5.01,-0.0523359562429443,0.9986295347545738,8.5,93,47.0,4.49,0.5299192642332049,0.848048096156426,9.4,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 19:00:00+00:00,DE,onshore,8.3,60,8.0,13.73,0.9396926207859084,0.3420201433256688,4.7,68,0.0,11.74,0.754709580222772,0.6560590289905073,9.4,55,3.0,5.44,0.2419218955996677,0.9702957262759964,7.7,80,1.0,8.15,0.5446390350150271,0.838670567945424,10.475,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 20:00:00+00:00,DE,onshore,8.0,62,0.0,11.91,0.9781476007338056,0.2079116908177594,4.0,73,0.0,11.69,0.766044443118978,0.6427876096865394,7.8,63,0.0,4.17,0.4067366430758002,0.9135454576426008,6.2,82,0.0,8.3,0.4999999999999999,0.8660254037844387,11.5,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 21:00:00+00:00,DE,onshore,7.5,63,0.0,12.18,0.8987940462991669,0.4383711467890774,3.9,73,0.0,10.56,0.7986355100472928,0.6018150231520483,7.6,58,0.0,6.72,0.3907311284892737,0.9205048534524404,5.9,76,0.0,7.41,0.4694715627858908,0.882947592858927,11.775,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 22:00:00+00:00,DE,onshore,7.3,65,0.0,11.41,0.9205048534524404,0.3907311284892737,3.3,80,0.0,10.21,0.7986355100472928,0.6018150231520483,7.3,60,0.0,6.31,0.8090169943749475,0.5877852522924731,4.9,79,0.0,8.07,0.484809620246337,0.8746197071393957,12.3,open-meteo,2026-08-10T08:06:50+00:00
2026-04-20 23:00:00+00:00,DE,onshore,7.2,64,0.0,10.08,0.9335804264972016,0.3583679495453004,2.8,86,0.0,10.1,0.7771459614569709,0.6293203910498374,6.5,68,0.0,5.75,0.8660254037844386,0.5000000000000001,4.1,81,0.0,7.18,0.6293203910498374,0.7771459614569709,12.85,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 00:00:00+00:00,DE,onshore,6.9,66,0.0,9.12,0.90630778703665,0.4226182617406994,2.5,91,0.0,9.53,0.766044443118978,0.6427876096865394,5.1,76,0.0,4.53,0.7771459614569709,0.6293203910498374,3.5,82,0.0,6.6,0.6560590289905073,0.754709580222772,13.5,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 01:00:00+00:00,DE,onshore,6.6,68,0.0,8.66,0.788010753606722,0.6156614753256583,2.1,92,0.0,9.87,0.766044443118978,0.6427876096865394,4.3,80,0.0,4.16,0.8910065241883679,0.4539904997395468,2.8,84,0.0,5.89,0.6819983600624985,0.7313537016191705,14.05,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 02:00:00+00:00,DE,onshore,6.6,66,0.0,9.04,0.766044443118978,0.6427876096865394,1.8,93,0.0,9.25,0.766044443118978,0.6427876096865394,3.3,84,0.0,3.05,0.7431448254773942,0.6691306063588582,2.3,87,0.0,6.18,0.7431448254773942,0.6691306063588582,14.5,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 03:00:00+00:00,DE,onshore,6.4,67,0.0,9.71,0.7431448254773942,0.6691306063588582,1.5,92,0.0,9.28,0.6946583704589973,0.7193398003386512,1.9,89,0.0,0.88,0.8910065241883679,0.4539904997395468,1.9,87,0.0,6.79,0.6946583704589973,0.7193398003386512,15.075,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 04:00:00+00:00,DE,onshore,6.2,69,0.0,10.16,0.8290375725550417,0.5591929034707468,1.2,93,0.0,8.94,0.6946583704589973,0.7193398003386512,1.3,90,0.0,2.22,0.6560590289905073,0.754709580222772,1.4,89,0.0,6.73,0.6691306063588582,0.7431448254773942,15.475,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 05:00:00+00:00,DE,onshore,6.1,70,18.0,9.11,0.848048096156426,0.5299192642332049,1.7,94,42.0,8.67,0.6819983600624985,0.7313537016191705,1.4,92,12.0,2.88,0.573576436351046,0.8191520442889918,1.5,89,30.0,6.96,0.6293203910498374,0.7771459614569709,15.325,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 06:00:00+00:00,DE,onshore,6.6,70,124.0,8.86,0.8191520442889918,0.573576436351046,3.6,88,169.0,7.02,0.5877852522924731,0.8090169943749475,4.4,86,120.0,3.53,0.7193398003386511,0.6946583704589973,3.1,81,150.0,6.04,0.6691306063588582,0.7431448254773942,13.575,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 07:00:00+00:00,DE,onshore,6.9,69,274.0,8.59,0.7071067811865475,0.7071067811865476,5.7,81,319.0,5.76,0.5299192642332049,0.848048096156426,6.6,76,267.0,2.42,0.9335804264972016,0.3583679495453004,4.8,74,310.0,4.79,0.6560590289905073,0.754709580222772,12.0,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 08:00:00+00:00,DE,onshore,7.3,63,427.0,7.56,0.7431448254773942,0.6691306063588582,7.6,69,439.0,5.68,0.5877852522924731,0.8090169943749475,8.0,71,359.0,3.29,0.7986355100472928,0.6018150231520483,6.8,67,472.0,4.5,0.6946583704589973,0.7193398003386512,10.575,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 09:00:00+00:00,DE,onshore,8.4,56,564.0,7.48,0.6946583704589973,0.7193398003386512,9.3,58,607.0,6.05,0.6427876096865393,0.766044443118978,8.6,74,446.0,4.08,0.8660254037844386,0.5000000000000001,9.0,56,610.0,4.32,0.6293203910498374,0.7771459614569709,9.175,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 10:00:00+00:00,DE,onshore,9.2,53,669.0,6.65,0.7071067811865475,0.7071067811865476,10.6,43,707.0,8.19,0.7431448254773942,0.6691306063588582,9.9,67,461.0,3.6,0.9271838545667874,0.3746065934159119,10.9,50,715.0,4.18,0.6293203910498374,0.7771459614569709,7.850000000000001,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 11:00:00+00:00,DE,onshore,10.1,50,735.0,6.29,0.7986355100472928,0.6018150231520483,10.9,40,760.0,8.27,0.754709580222772,0.6560590289905073,10.1,65,306.0,3.65,0.9945218953682732,0.1045284632676534,12.3,45,772.0,4.53,0.6293203910498374,0.7771459614569709,7.149999999999999,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 12:00:00+00:00,DE,onshore,10.6,48,756.0,6.92,0.788010753606722,0.6156614753256583,11.1,39,767.0,9.12,0.7771459614569709,0.6293203910498374,10.5,67,308.0,2.91,0.9396926207859084,0.3420201433256688,12.7,38,776.0,4.43,0.573576436351046,0.8191520442889918,6.774999999999999,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 13:00:00+00:00,DE,onshore,10.9,49,731.0,7.24,0.8660254037844386,0.5000000000000001,11.1,41,722.0,8.71,0.7771459614569709,0.6293203910498374,10.2,69,291.0,5.92,0.8910065241883679,0.4539904997395468,13.3,36,733.0,4.57,0.6819983600624985,0.7313537016191705,6.625,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 14:00:00+00:00,DE,onshore,11.0,46,660.0,7.8,0.90630778703665,0.4226182617406994,10.9,44,632.0,8.13,0.6560590289905073,0.754709580222772,11.2,68,366.0,5.98,0.848048096156426,0.5299192642332049,13.2,31,647.0,5.4,0.8746197071393957,0.4848096202463371,6.425000000000001,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 15:00:00+00:00,DE,onshore,11.2,46,550.0,8.03,0.8660254037844386,0.5000000000000001,10.7,41,507.0,7.38,0.6427876096865393,0.766044443118978,10.5,70,261.0,3.49,0.788010753606722,0.6156614753256583,13.2,33,501.0,5.6,0.8090169943749475,0.5877852522924731,6.600000000000001,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 16:00:00+00:00,DE,onshore,11.2,46,410.0,8.11,0.8829475928589269,0.4694715627858908,9.9,43,356.0,7.26,0.573576436351046,0.8191520442889918,10.8,67,264.0,5.58,0.8571673007021123,0.5150380749100542,12.8,39,325.0,6.23,0.4999999999999999,0.8660254037844387,6.824999999999999,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 17:00:00+00:00,DE,onshore,11.0,52,252.0,7.58,0.8910065241883679,0.4539904997395468,8.8,47,196.0,7.5,0.484809620246337,0.8746197071393957,10.7,66,166.0,5.9,0.7431448254773942,0.6691306063588582,12.0,37,210.0,6.52,0.6819983600624985,0.7313537016191705,7.375,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 18:00:00+00:00,DE,onshore,10.9,54,101.0,6.98,0.8746197071393957,0.4848096202463371,7.2,58,57.0,6.81,0.4999999999999999,0.8660254037844387,9.7,68,51.0,4.32,0.9986295347545738,0.0523359562429439,10.5,40,68.0,7.2,0.5591929034707469,0.8290375725550417,8.425,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 19:00:00+00:00,DE,onshore,10.5,53,9.0,7.39,0.848048096156426,0.5299192642332049,5.5,68,1.0,7.45,0.5446390350150271,0.838670567945424,8.1,78,2.0,5.73,0.9396926207859084,0.3420201433256688,8.2,52,1.0,6.98,0.6156614753256583,0.7880107536067219,9.925,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 20:00:00+00:00,DE,onshore,10.1,54,0.0,6.15,0.9271838545667874,0.3746065934159119,4.2,75,0.0,6.98,0.6156614753256583,0.7880107536067219,7.5,74,0.0,5.4,0.8746197071393957,0.4848096202463371,6.9,52,0.0,8.19,0.6560590289905073,0.754709580222772,10.825,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 21:00:00+00:00,DE,onshore,9.7,55,0.0,5.19,0.9271838545667874,0.3746065934159119,3.1,75,0.0,6.61,0.573576436351046,0.8191520442889918,7.7,69,0.0,5.14,0.8191520442889918,0.573576436351046,5.9,60,0.0,7.76,0.6018150231520483,0.7986355100472928,11.4,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 22:00:00+00:00,DE,onshore,9.6,56,0.0,4.46,0.9876883405951378,0.1564344650402309,2.6,76,0.0,5.26,0.484809620246337,0.8746197071393957,6.9,71,0.0,7.18,0.848048096156426,0.5299192642332049,4.8,64,0.0,7.36,0.6691306063588582,0.7431448254773942,12.025,open-meteo,2026-08-10T08:06:50+00:00
2026-04-21 23:00:00+00:00,DE,onshore,9.5,57,0.0,3.23,0.9702957262759964,0.2419218955996676,2.2,77,0.0,4.61,0.0697564737441253,0.9975640502598242,6.3,73,0.0,6.33,0.9612616959383188,0.2756373558169991,3.9,67,0.0,6.03,0.6946583704589973,0.7193398003386512,12.525,open-meteo,2026-08-10T08:06:50+00:00
2026-04-22 00:00:00+00:00,DE,onshore,9.2,62,0.0,2.77,0.9205048534524404,0.3907311284892737,1.9,81,0.0,4.5,-0.2756373558169989,0.9612616959383188,5.7,70,0.0,6.51,0.9612616959383188,0.2756373558169991,2.5,77,0.0,5.47,0.6946583704589973,0.7193398003386512,13.175,open-meteo,2026-08-10T08:06:50+00:00
2026-04-22 01:00:00+00:00,DE,onshore,9.0,60,0.0,1.77,0.9455185755993168,0.3255681544571567,1.3,84,0.0,5.19,-0.5877852522924734,0.8090169943749473,4.9,74,0.0,5.31,0.9205048534524404,0.3907311284892737,1.9,83,0.0,4.53,0.6293203910498374,0.7771459614569709,13.725,open-meteo,2026-08-10T08:06:50+00:00
2026-04-22 02:00:00+00:00,DE,onshore,9.1,58,0.0,1.1,0.8910065241883679,0.4539904997395468,1.2,79,0.0,6.45,-0.7431448254773946,0.6691306063588578,4.0,78,0.0,4.73,0.9743700647852352,0.2249510543438649,1.2,87,0.0,4.02,0.5591929034707469,0.8290375725550417,14.125,open-meteo,2026-08-10T08:06:50+00:00
2026-04-22 03:00:00+00:00,DE,onshore,8.6,67,0.0,1.19,0.1564344650402308,0.9876883405951378,1.1,76,0.0,6.82,-0.8480480961564262,0.5299192642332047,3.8,78,0.0,4.67,0.838670567945424,0.5446390350150271,-0.1,92,0.0,4.08,0.4999999999999999,0.8660254037844387,14.65,open-meteo,2026-08-10T08:06:50+00:00
2026-04-22 04:00:00+00:00,DE,onshore,8.8,68,0.0,1.02,-0.2923717047227371,0.9563047559630352,1.0,72,0.0,7.94,-0.8191520442889918,0.573576436351046,3.1,81,0.0,4.75,0.9271838545667874,0.3746065934159119,-0.3,90,0.0,4.03,0.4383711467890774,0.898794046299167,14.85,open-meteo,2026-08-10T08:06:50+00:00
2026-04-22 05:00:00+00:00,DE,onshore,8.9,67,20.0,1.4,-0.9063077870366498,0.4226182617406996,1.7,71,43.0,9.32,-0.7660444431189781,0.6427876096865393,2.7,82,13.0,3.76,0.9659258262890684,0.2588190451025207,-0.4,88,32.0,3.35,0.1218693434051474,0.992546151641322,14.775,open-meteo,2026-08-10T08:06:50+00:00
2026-04-22 06:00:00+00:00,DE,onshore,9.1,69,130.0,1.93,-0.9135454576426012,0.4067366430757997,3.8,66,170.0,9.06,-0.7771459614569708,0.6293203910498375,5.1,68,125.0,4.92,0.8191520442889918,0.573576436351046,2.6,76,153.0,4.34,-0.3090169943749477,0.9510565162951536,12.85,open-meteo,2026-08-10T08:06:50+00:00
2026-04-22 07:00:00+00:00,DE,onshore,9.3,64,281.0,2.46,-0.9205048534524404,0.3907311284892735,6.5,62,326.0,6.61,-0.8191520442889918,0.573576436351046,6.4,67,294.0,4.76,0.7986355100472928,0.6018150231520483,5.7,64,313.0,4.12,-0.4694715627858908,0.882947592858927,11.025,open-meteo,2026-08-10T08:06:50+00:00
2026-04-22 08:00:00+00:00,DE,onshore,9.5,66,435.0,3.69,-0.9271838545667874,0.3746065934159119,9.3,56,479.0,5.87,-0.8386705679454243,0.5446390350150266,8.9,62,469.0,5.48,0.8910065241883679,0.4539904997395468,8.5,54,476.0,2.86,-0.8571673007021123,0.5150380749100542,8.95,open-meteo,2026-08-10T08:06:50+00:00
2026-04-22 09:00:00+00:00,DE,onshore,10.0,62,571.0,4.38,-0.8910065241883679,0.4539904997395466,12.1,53,609.0,5.9,-0.7431448254773946,0.6691306063588578,12.2,45,625.0,6.43,0.9902680687415704,0.1391731009600654,11.7,44,614.0,3.74,-0.7313537016191703,0.6819983600624987,6.5,open-meteo,2026-08-10T08:06:50+00:00
2026-04-22 10:00:00+00:00,DE,onshore,9.8,66,681.0,5.74,-0.8910065241883679,0.4539904997395466,14.2,49,707.0,6.95,-0.6427876096865396,0.7660444431189778,13.3,40,748.0,7.45,0.9993908270190958,0.034899496702501,13.5,38,718.0,4.44,-0.6560590289905074,0.7547095802227719,5.300000000000001,open-meteo,2026-08-10T08:06:50+00:00
2026-04-22 11:00:00+00:00,DE,onshore,9.6,78,743.0,5.48,-0.8746197071393956,0.4848096202463373,15.3,41,761.0,8.13,-0.5877852522924734,0.8090169943749473,14.5,36,817.0,7.06,0.9986295347545738,0.0523359562429439,14.6,35,777.0,5.45,-0.6156614753256582,0.7880107536067221,4.5,open-meteo,2026-08-10T08:06:50+00:00
2026-04-22 12:00:00+00:00,DE,onshore,10.0,80,755.0,4.82,-0.6156614753256582,0.7880107536067221,15.9,38,765.0,8.3,-0.5000000000000004,0.8660254037844384,15.2,33,840.0,6.31,0.9945218953682732,0.1045284632676534,15.3,32,784.0,5.43,-0.6293203910498378,0.7771459614569706,3.900000000000002,open-meteo,2026-08-10T08:06:50+00:00
2026-04-22 13:00:00+00:00,DE,onshore,9.9,76,722.0,5.96,-0.5877852522924734,0.8090169943749473,16.4,35,720.0,8.41,-0.4694715627858908,0.882947592858927,15.8,32,806.0,6.56,0.9702957262759964,0.2419218955996676,15.8,33,743.0,5.62,-0.7547095802227722,0.656059028990507,3.525000000000002,open-meteo,2026-08-10T08:06:50+00:00
2026-04-22 14:00:00+00:00,DE,onshore,9.7,77,651.0,7.1,-0.5735764363510465,0.8191520442889916,16.1,34,635.0,9.13,-0.5735764363510465,0.8191520442889916,16.0,29,723.0,6.84,0.9743700647852352,0.2249510543438649,16.3,30,659.0,5.63,-0.6427876096865396,0.7660444431189778,3.4750000000000014,open-meteo,2026-08-10T08:06:50+00:00
2026-04-22 15:00:00+00:00,DE,onshore,9.3,81,541.0,7.58,-0.544639035015027,0.838670567945424,15.8,36,511.0,9.56,-0.6946583704589976,0.7193398003386509,16.3,26,596.0,6.4,0.981627183447664,0.1908089953765449,16.7,29,535.0,4.86,-0.4694715627858908,0.882947592858927,3.474999999999998,open-meteo,2026-08-10T08:06:50+00:00
2026-04-22 16:00:00+00:00,DE,onshore,8.8,84,397.0,7.83,-0.529919264233205,0.8480480961564258,15.0,39,361.0,9.66,-0.7660444431189781,0.6427876096865393,15.9,35,435.0,6.49,0.90630778703665,0.4226182617406994,16.4,31,381.0,5.43,-0.4694715627858908,0.882947592858927,3.975,open-meteo,2026-08-10T08:06:50+00:00
2026-04-22 17:00:00+00:00,DE,onshore,8.5,89,241.0,8.75,-0.529919264233205,0.8480480961564258,13.9,34,202.0,9.89,-0.8290375725550416,0.559192903470747,15.1,31,256.0,6.64,0.9271838545667874,0.3746065934159119,15.5,32,219.0,5.06,-0.7313537016191703,0.6819983600624987,4.75,open-meteo,2026-08-10T08:06:50+00:00
2026-04-22 18:00:00+00:00,DE,onshore,8.0,83,90.0,8.45,-0.5735764363510465,0.8191520442889916,12.4,37,62.0,9.4,-0.8290375725550416,0.559192903470747,13.6,35,90.0,6.17,0.9396926207859084,0.3420201433256688,14.0,38,72.0,5.71,-0.7771459614569708,0.6293203910498375,6.0,open-meteo,2026-08-10T08:06:50+00:00
2026-04-22 19:00:00+00:00,DE,onshore,7.8,90,9.0,8.54,-0.6018150231520483,0.7986355100472928,10.2,44,1.0,10.63,-0.8386705679454243,0.5446390350150266,11.2,46,4.0,6.1,0.9135454576426008,0.4067366430758002,11.1,45,2.0,8.45,-0.7193398003386512,0.6946583704589973,7.925000000000001,open-meteo,2026-08-10T08:06:50+00:00
2026-04-22 20:00:00+00:00,DE,onshore,7.4,87,0.0,8.86,-0.6156614753256582,0.7880107536067221,9.0,48,0.0,11.12,-0.8191520442889918,0.573576436351046,10.3,50,0.0,6.06,0.9702957262759964,0.2419218955996676,9.4,52,0.0,8.54,-0.7547095802227722,0.656059028990507,8.975,open-meteo,2026-08-10T08:06:50+00:00
