timestamp_utc,country,target,temperature_2m_p1,relative_humidity_2m_p1,shortwave_radiation_p1,wind_speed_100m_ms_p1,wind_dir_sin_p1,wind_dir_cos_p1,temperature_2m_p2,relative_humidity_2m_p2,shortwave_radiation_p2,wind_speed_100m_ms_p2,wind_dir_sin_p2,wind_dir_cos_p2,temperature_2m_p3,relative_humidity_2m_p3,shortwave_radiation_p3,wind_speed_100m_ms_p3,wind_dir_sin_p3,wind_dir_cos_p3,temperature_2m_p4,relative_humidity_2m_p4,shortwave_radiation_p4,wind_speed_100m_ms_p4,wind_dir_sin_p4,wind_dir_cos_p4,deg_proxy,source,updated_at_utc
2026-09-04 00:00:00+00:00,BE,onshore,20.3,89,0.0,9.0,-0.7771459614569706,-0.6293203910498378,20.1,92,0.0,9.7,-0.8290375725550418,-0.5591929034707466,20.1,92,0.0,9.8,-0.8290375725550418,-0.5591929034707466,17.0,98,0.0,9.4,-0.9335804264972016,-0.3583679495453007,1.375,open-meteo,2026-09-03T18:02:34+00:00
2026-09-04 01:00:00+00:00,BE,onshore,20.5,87,0.0,10.2,-0.8571673007021121,-0.5150380749100545,20.0,91,0.0,8.6,-0.8571673007021121,-0.5150380749100545,20.1,92,0.0,8.4,-0.7986355100472928,-0.6018150231520483,17.1,99,0.0,9.9,-0.961261695938319,-0.2756373558169989,1.4250000000000007,open-meteo,2026-09-03T18:02:34+00:00
2026-09-04 02:00:00+00:00,BE,onshore,20.4,88,0.0,9.7,-0.7313537016191705,-0.6819983600624986,20.1,91,0.0,9.1,-0.8191520442889916,-0.5735764363510464,20.2,93,0.0,8.9,-0.8191520442889916,-0.5735764363510464,17.1,99,0.0,10.3,-0.9455185755993168,-0.32556815445715664,1.4500000000000028,open-meteo,2026-09-03T18:02:34+00:00
2026-09-04 03:00:00+00:00,BE,onshore,20.5,86,0.0,9.3,-0.8090169943749473,-0.5877852522924732,20.1,92,0.0,8.8,-0.8191520442889916,-0.5735764363510464,20.3,91,0.0,10.4,-0.8090169943749473,-0.5877852522924732,17.2,98,0.0,9.7,-0.8910065241883678,-0.4539904997395469,1.5250000000000021,open-meteo,2026-09-03T18:02:34+00:00
2026-09-04 04:00:00+00:00,BE,onshore,20.5,86,0.0,10.0,-0.8090169943749473,-0.5877852522924732,20.2,91,0.0,8.9,-0.7660444431189779,-0.6427876096865395,20.4,91,0.0,10.8,-0.8191520442889916,-0.5735764363510464,17.1,98,0.0,9.7,-0.913545457642601,-0.4067366430758001,1.5500000000000007,open-meteo,2026-09-03T18:02:34+00:00
2026-09-04 05:00:00+00:00,BE,onshore,20.5,86,0.0,9.9,-0.754709580222772,-0.6560590289905073,20.2,90,0.0,9.4,-0.7771459614569706,-0.6293203910498378,20.3,89,0.0,11.3,-0.754709580222772,-0.6560590289905073,17.1,97,0.0,10.0,-0.8910065241883678,-0.4539904997395469,1.5249999999999986,open-meteo,2026-09-03T18:02:34+00:00
2026-09-04 06:00:00+00:00,BE,onshore,20.6,86,9.0,10.2,-0.7193398003386512,-0.6946583704589973,20.3,90,8.0,8.9,-0.7193398003386512,-0.6946583704589973,20.4,88,2.0,10.7,-0.7986355100472928,-0.6018150231520483,17.1,97,9.0,10.2,-0.874619707139396,-0.48480962024633684,1.6000000000000014,open-meteo,2026-09-03T18:02:34+00:00
2026-09-04 07:00:00+00:00,BE,onshore,20.7,84,21.0,10.3,-0.7660444431189779,-0.6427876096865395,20.6,89,26.0,9.5,-0.7431448254773944,-0.6691306063588581,20.3,88,10.0,10.5,-0.838670567945424,-0.544639035015027,17.3,96,42.0,10.6,-0.8090169943749473,-0.5877852522924732,1.7249999999999979,open-meteo,2026-09-03T18:02:34+00:00
2026-09-04 08:00:00+00:00,BE,onshore,20.4,85,20.0,10.9,-0.8290375725550418,-0.5591929034707466,20.6,87,35.0,9.5,-0.848048096156426,-0.529919264233205,20.4,85,21.0,11.4,-0.8660254037844384,-0.5000000000000004,17.4,95,42.0,11.9,-0.882947592858927,-0.46947156278589075,1.6999999999999993,open-meteo,2026-09-03T18:02:34+00:00
2026-09-04 09:00:00+00:00,BE,onshore,20.0,87,25.0,9.8,-0.8090169943749473,-0.5877852522924732,20.3,87,28.0,10.3,-0.913545457642601,-0.4067366430758001,21.8,78,210.0,12.7,-0.8090169943749473,-0.5877852522924732,17.1,96,54.0,11.6,-0.9702957262759965,-0.24192189559966779,1.7999999999999972,open-meteo,2026-09-03T18:02:34+00:00
