timestamp_utc,country,target,temperature_2m_p1,relative_humidity_2m_p1,shortwave_radiation_p1,wind_speed_100m_ms_p1,wind_dir_sin_p1,wind_dir_cos_p1,temperature_2m_p2,relative_humidity_2m_p2,shortwave_radiation_p2,wind_speed_100m_ms_p2,wind_dir_sin_p2,wind_dir_cos_p2,temperature_2m_p3,relative_humidity_2m_p3,shortwave_radiation_p3,wind_speed_100m_ms_p3,wind_dir_sin_p3,wind_dir_cos_p3,temperature_2m_p4,relative_humidity_2m_p4,shortwave_radiation_p4,wind_speed_100m_ms_p4,wind_dir_sin_p4,wind_dir_cos_p4,deg_proxy,source,updated_at_utc
2026-09-04 00:00:00+00:00,DE,load,17.8,67,0.0,7.56,-0.9743700647852351,-0.22495105434386525,17.8,84,0.0,9.17,-0.9510565162951535,-0.30901699437494756,17.7,82,0.0,8.56,-0.961261695938319,-0.2756373558169989,17.1,87,0.0,7.15,-0.838670567945424,-0.544639035015027,0.3999999999999986,open-meteo,2026-09-03T18:14:45+00:00
2026-09-04 01:00:00+00:00,DE,load,17.3,70,0.0,7.41,-0.9510565162951535,-0.30901699437494756,17.9,85,0.0,10.42,-0.961261695938319,-0.2756373558169989,17.4,84,0.0,8.65,-0.9205048534524403,-0.3907311284892738,16.7,91,0.0,7.22,-0.7431448254773944,-0.6691306063588581,0.6750000000000007,open-meteo,2026-09-03T18:14:45+00:00
2026-09-04 02:00:00+00:00,DE,load,17.0,70,0.0,7.17,-0.9271838545667873,-0.3746065934159123,17.7,87,0.0,11.37,-0.9563047559630353,-0.2923717047227371,17.0,87,0.0,8.39,-0.8660254037844384,-0.5000000000000004,16.9,91,0.0,8.04,-0.6819983600624984,-0.7313537016191706,0.8500000000000014,open-meteo,2026-09-03T18:14:45+00:00
2026-09-04 03:00:00+00:00,DE,load,17.0,69,0.0,6.97,-0.882947592858927,-0.46947156278589075,17.5,88,0.0,10.48,-0.913545457642601,-0.4067366430758001,16.9,89,0.0,8.83,-0.8290375725550418,-0.5591929034707466,17.2,92,0.0,8.04,-0.6946583704589974,-0.7193398003386511,0.8500000000000014,open-meteo,2026-09-03T18:14:45+00:00
2026-09-04 04:00:00+00:00,DE,load,16.7,69,0.0,6.89,-0.8660254037844384,-0.5000000000000004,17.5,88,0.0,9.99,-0.8987940462991668,-0.43837114678907774,16.7,89,0.0,9.62,-0.7880107536067221,-0.6156614753256581,18.0,92,0.0,9.88,-0.7986355100472928,-0.6018150231520483,0.7749999999999986,open-meteo,2026-09-03T18:14:45+00:00
2026-09-04 05:00:00+00:00,DE,load,16.2,70,3.0,6.69,-0.848048096156426,-0.529919264233205,17.6,88,0.0,9.16,-0.90630778703665,-0.42261826174069916,17.1,88,3.0,10.06,-0.754709580222772,-0.6560590289905073,18.4,88,0.0,10.45,-0.7771459614569706,-0.6293203910498378,0.6750000000000007,open-meteo,2026-09-03T18:14:45+00:00
2026-09-04 06:00:00+00:00,DE,load,17.1,71,73.0,6.63,-0.8290375725550418,-0.5591929034707466,18.3,83,38.0,8.02,-0.882947592858927,-0.46947156278589075,17.8,86,43.0,9.43,-0.7431448254773944,-0.6691306063588581,18.6,87,11.0,9.77,-0.7071067811865475,-0.7071067811865477,0.04999999999999716,open-meteo,2026-09-03T18:14:45+00:00
2026-09-04 07:00:00+00:00,DE,load,19.0,65,227.0,4.86,-0.8290375725550418,-0.5591929034707466,19.5,79,123.0,6.43,-0.7880107536067221,-0.6156614753256581,19.4,79,119.0,9.56,-0.7880107536067221,-0.6156614753256581,19.0,85,25.0,11.45,-0.7431448254773944,-0.6691306063588581,1.2250000000000014,open-meteo,2026-09-03T18:14:45+00:00
2026-09-04 08:00:00+00:00,DE,load,21.3,58,393.0,4.49,-0.848048096156426,-0.529919264233205,20.7,72,237.0,9.49,-0.8571673007021121,-0.5150380749100545,21.1,72,252.0,10.88,-0.7880107536067221,-0.6156614753256581,19.5,83,48.0,12.22,-0.754709580222772,-0.6560590289905073,2.6499999999999986,open-meteo,2026-09-03T18:14:45+00:00
2026-09-04 09:00:00+00:00,DE,load,23.5,51,538.0,4.87,-0.90630778703665,-0.42261826174069916,22.5,64,416.0,11.84,-0.9510565162951535,-0.30901699437494756,22.5,65,310.0,14.77,-0.8571673007021121,-0.5150380749100545,20.2,82,87.0,14.32,-0.7986355100472928,-0.6018150231520483,4.175000000000001,open-meteo,2026-09-03T18:14:45+00:00
2026-09-04 10:00:00+00:00,DE,load,25.2,45,651.0,6.04,-0.9396926207859084,-0.34202014332566855,23.5,60,395.0,11.07,-0.981627183447664,-0.1908089953765446,23.7,60,283.0,14.55,-0.90630778703665,-0.42261826174069916,20.9,78,125.0,16.96,-0.8987940462991668,-0.43837114678907774,5.325000000000003,open-meteo,2026-09-03T18:14:45+00:00
2026-09-04 11:00:00+00:00,DE,load,26.5,43,716.0,6.41,-0.9455185755993168,-0.32556815445715664,23.9,58,406.0,11.19,-0.9563047559630353,-0.2923717047227371,24.6,56,304.0,16.16,-0.9205048534524403,-0.3907311284892738,19.9,86,39.0,15.8,-0.9510565162951535,-0.30901699437494756,5.725000000000001,open-meteo,2026-09-03T18:14:45+00:00
2026-09-04 12:00:00+00:00,DE,load,27.4,43,729.0,6.77,-0.9702957262759965,-0.24192189559966779,25.1,53,472.0,12.02,-0.9702957262759965,-0.24192189559966779,25.7,53,284.0,15.0,-0.9396926207859084,-0.34202014332566855,19.6,87,76.0,11.08,-0.9659258262890683,-0.25881904510252063,6.450000000000003,open-meteo,2026-09-03T18:14:45+00:00
