timestamp_utc,country,target,temperature_2m_p1,relative_humidity_2m_p1,shortwave_radiation_p1,wind_speed_100m_ms_p1,wind_dir_sin_p1,wind_dir_cos_p1,temperature_2m_p2,relative_humidity_2m_p2,shortwave_radiation_p2,wind_speed_100m_ms_p2,wind_dir_sin_p2,wind_dir_cos_p2,temperature_2m_p3,relative_humidity_2m_p3,shortwave_radiation_p3,wind_speed_100m_ms_p3,wind_dir_sin_p3,wind_dir_cos_p3,temperature_2m_p4,relative_humidity_2m_p4,shortwave_radiation_p4,wind_speed_100m_ms_p4,wind_dir_sin_p4,wind_dir_cos_p4,deg_proxy,source,updated_at_utc
2026-08-27 00:00:00+00:00,DE,offshore,19.5,79,0.0,13.27,0.9612616959383189,-0.27563735581699905,18.0,76,0.0,10.79,0.9612616959383189,-0.27563735581699905,18.9,85,0.0,12.71,0.9396926207859084,-0.3420201433256687,19.8,75,0.0,12.24,0.9455185755993168,-0.32556815445715664,1.0500000000000007,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 01:00:00+00:00,DE,offshore,19.4,80,0.0,12.46,0.9335804264972017,-0.35836794954530027,17.8,77,0.0,10.2,0.9396926207859084,-0.3420201433256687,19.0,83,0.0,13.14,0.9455185755993168,-0.32556815445715664,19.6,74,0.0,12.17,0.9271838545667874,-0.37460659341591207,0.9500000000000028,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 02:00:00+00:00,DE,offshore,19.3,79,0.0,11.67,0.9135454576426009,-0.40673664307580026,17.7,78,0.0,9.98,0.9510565162951536,-0.30901699437494734,18.9,82,0.0,12.4,0.9396926207859084,-0.3420201433256687,19.5,73,0.0,12.01,0.90630778703665,-0.42261826174069933,0.8500000000000014,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 03:00:00+00:00,DE,offshore,18.8,83,0.0,11.67,0.9743700647852352,-0.22495105434386503,17.5,78,0.0,9.6,0.9702957262759965,-0.24192189559966779,18.5,84,0.0,12.31,0.9876883405951378,-0.1564344650402308,18.9,80,0.0,11.9,0.9702957262759965,-0.24192189559966779,0.42499999999999716,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 04:00:00+00:00,DE,offshore,19.0,80,0.0,12.86,0.9510565162951536,-0.30901699437494734,17.4,77,0.0,9.47,0.981627183447664,-0.1908089953765448,18.6,83,0.0,12.55,0.9702957262759965,-0.24192189559966779,19.0,78,0.0,12.99,0.9563047559630355,-0.29237170472273666,0.5,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 05:00:00+00:00,DE,offshore,18.7,82,3.0,12.29,0.9659258262890683,-0.25881904510252085,17.4,78,30.0,9.65,0.984807753012208,-0.1736481776669303,18.4,84,2.0,12.17,0.9743700647852352,-0.22495105434386503,18.8,78,4.0,12.58,0.9563047559630355,-0.29237170472273666,0.3249999999999993,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 06:00:00+00:00,DE,offshore,18.5,83,68.0,12.61,0.9455185755993168,-0.32556815445715664,17.2,79,142.0,8.82,0.9781476007338057,-0.20791169081775934,18.2,84,62.0,12.88,0.9659258262890683,-0.25881904510252085,18.5,80,74.0,11.68,0.9455185755993168,-0.32556815445715664,0.10000000000000142,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 07:00:00+00:00,DE,offshore,18.4,81,201.0,12.92,0.9455185755993168,-0.32556815445715664,17.3,79,280.0,9.11,0.9781476007338057,-0.20791169081775934,18.2,83,192.0,13.4,0.9659258262890683,-0.25881904510252085,18.3,78,206.0,12.55,0.9510565162951536,-0.30901699437494734,0.05000000000000071,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 08:00:00+00:00,DE,offshore,18.3,82,347.0,12.74,0.9205048534524403,-0.39073112848927377,17.4,80,420.0,8.65,0.9743700647852352,-0.22495105434386503,18.2,84,333.0,13.42,0.9510565162951536,-0.30901699437494734,18.2,79,349.0,12.25,0.9205048534524403,-0.39073112848927377,0.02500000000000213,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 09:00:00+00:00,DE,offshore,18.3,83,467.0,12.09,0.9563047559630355,-0.29237170472273666,18.0,75,543.0,8.28,0.981627183447664,-0.1908089953765448,18.2,85,465.0,13.2,0.9396926207859084,-0.3420201433256687,18.2,80,470.0,11.48,0.9271838545667874,-0.37460659341591207,0.1750000000000007,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 10:00:00+00:00,DE,offshore,18.3,82,559.0,12.52,0.9455185755993168,-0.32556815445715664,18.0,77,635.0,8.33,0.9510565162951536,-0.30901699437494734,18.3,83,542.0,12.96,0.9396926207859084,-0.3420201433256687,18.4,81,578.0,11.48,0.9743700647852352,-0.22495105434386503,0.25,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 11:00:00+00:00,DE,offshore,18.5,81,644.0,13.21,0.9702957262759965,-0.24192189559966779,18.1,77,686.0,9.63,0.9876883405951378,-0.1564344650402308,18.4,81,641.0,14.26,0.9396926207859084,-0.3420201433256687,18.8,79,643.0,12.95,0.9743700647852352,-0.22495105434386503,0.4499999999999993,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 12:00:00+00:00,DE,offshore,18.8,82,613.0,12.15,0.9612616959383189,-0.27563735581699905,18.5,76,695.0,9.21,0.9993908270190958,-0.034899496702500955,18.8,81,655.0,12.8,0.9510565162951536,-0.30901699437494734,19.2,80,589.0,12.92,0.984807753012208,-0.1736481776669303,0.8249999999999993,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 13:00:00+00:00,DE,offshore,19.3,81,573.0,12.96,0.9612616959383189,-0.27563735581699905,18.4,78,657.0,10.99,0.9986295347545738,-0.05233595624294384,19.1,80,555.0,12.52,0.9563047559630355,-0.29237170472273666,19.8,78,518.0,13.66,0.9902680687415704,-0.13917310096006535,1.1500000000000021,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 14:00:00+00:00,DE,offshore,19.7,79,346.0,13.03,0.9781476007338057,-0.20791169081775934,18.5,79,570.0,12.36,0.9986295347545738,-0.05233595624294384,19.4,79,457.0,13.42,0.9563047559630355,-0.29237170472273666,20.2,78,252.0,13.4,0.9876883405951378,-0.1564344650402308,1.4499999999999993,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 15:00:00+00:00,DE,offshore,20.3,78,150.0,13.71,0.9659258262890683,-0.25881904510252085,18.8,80,450.0,12.35,0.9998476951563913,-0.017452406437283477,19.9,78,162.0,14.32,0.9563047559630355,-0.29237170472273666,20.8,79,222.0,14.44,0.9455185755993168,-0.32556815445715664,1.9499999999999993,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 16:00:00+00:00,DE,offshore,20.4,79,141.0,13.96,0.9335804264972017,-0.35836794954530027,18.8,81,310.0,13.53,0.9993908270190958,-0.034899496702500955,20.1,78,112.0,13.17,0.9743700647852352,-0.22495105434386503,21.0,80,177.0,14.07,0.8746197071393959,-0.484809620246337,2.075000000000003,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 17:00:00+00:00,DE,offshore,20.7,80,129.0,15.22,0.8480480961564261,-0.5299192642332048,18.8,81,167.0,13.93,0.9986295347545738,-0.05233595624294384,20.0,80,138.0,12.66,0.9902680687415704,-0.13917310096006535,21.2,80,166.0,14.02,0.788010753606722,-0.6156614753256583,2.1750000000000007,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 18:00:00+00:00,DE,offshore,20.8,82,67.0,14.77,0.8571673007021123,-0.5150380749100543,18.7,82,45.0,14.8,0.9993908270190958,-0.034899496702500955,20.3,80,46.0,15.22,0.9135454576426009,-0.40673664307580026,21.6,80,61.0,13.78,0.8191520442889917,-0.5735764363510462,2.3500000000000014,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 19:00:00+00:00,DE,offshore,20.8,81,8.0,15.0,0.8191520442889917,-0.5735764363510462,18.9,83,0.0,13.93,0.9925461516413221,-0.12186934340514737,20.4,80,9.0,16.91,0.8910065241883679,-0.4539904997395467,21.5,80,9.0,13.62,0.766044443118978,-0.6427876096865394,2.3999999999999986,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 20:00:00+00:00,DE,offshore,20.8,82,0.0,14.48,0.7193398003386511,-0.6946583704589974,19.3,83,0.0,12.63,0.8746197071393959,-0.484809620246337,20.3,80,0.0,16.25,0.8660254037844387,-0.4999999999999998,21.5,79,0.0,11.84,0.6018150231520482,-0.7986355100472929,2.4750000000000014,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 21:00:00+00:00,DE,offshore,20.8,85,0.0,9.97,0.39073112848927377,-0.9205048534524404,19.7,77,0.0,14.08,0.777145961456971,-0.6293203910498373,20.4,83,0.0,14.72,0.6560590289905073,-0.754709580222772,21.2,84,0.0,8.07,0.17364817766693028,-0.984807753012208,2.5249999999999986,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 22:00:00+00:00,DE,offshore,20.2,89,0.0,6.02,0.37460659341591224,-0.9271838545667873,19.9,74,0.0,13.94,0.777145961456971,-0.6293203910498373,20.4,85,0.0,11.88,0.4226182617406995,-0.9063077870366499,20.9,84,0.0,7.57,0.3583679495453002,-0.9335804264972017,2.349999999999998,open-meteo,2026-08-31T05:33:31+00:00
2026-08-27 23:00:00+00:00,DE,offshore,20.2,88,0.0,6.42,0.3583679495453002,-0.9335804264972017,19.7,74,0.0,13.58,0.7193398003386511,-0.6946583704589974,20.2,85,0.0,9.79,0.39073112848927377,-0.9205048534524404,20.7,85,0.0,8.5,0.45399049973954686,-0.8910065241883678,2.1999999999999993,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 00:00:00+00:00,DE,offshore,19.9,89,0.0,6.76,0.03489949670250114,-0.9993908270190958,19.3,74,0.0,13.57,0.777145961456971,-0.6293203910498373,19.9,86,0.0,8.68,0.3420201433256689,-0.9396926207859083,20.2,86,0.0,7.12,-0.13917310096006552,-0.9902680687415703,1.8249999999999993,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 01:00:00+00:00,DE,offshore,19.4,95,0.0,3.86,-0.8660254037844384,-0.5000000000000004,19.2,74,0.0,12.92,0.8090169943749475,-0.587785252292473,19.2,94,0.0,5.65,-0.882947592858927,-0.46947156278589075,19.6,95,0.0,7.8,-0.6293203910498376,-0.7771459614569708,1.3500000000000014,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 02:00:00+00:00,DE,offshore,19.1,96,0.0,4.29,-0.8910065241883678,-0.4539904997395469,19.0,75,0.0,13.01,0.8571673007021123,-0.5150380749100543,18.9,96,0.0,6.45,-0.6691306063588582,-0.7431448254773942,19.5,95,0.0,3.46,-0.4226182617406993,-0.90630778703665,1.125,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 03:00:00+00:00,DE,offshore,19.2,96,0.0,3.43,-1.0,-1.8369701987210297e-16,18.7,75,0.0,14.33,0.8090169943749475,-0.587785252292473,18.8,97,0.0,5.94,-0.7880107536067221,-0.6156614753256581,19.4,96,0.0,3.53,-0.8290375725550416,0.559192903470747,1.0249999999999986,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 04:00:00+00:00,DE,offshore,19.0,97,0.0,2.15,-0.8660254037844384,-0.5000000000000004,18.8,74,0.0,13.37,0.777145961456971,-0.6293203910498373,18.7,98,0.0,1.31,-0.891006524188368,0.45399049973954664,19.4,97,0.0,2.37,0.12186934340514755,-0.992546151641322,0.9750000000000014,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 05:00:00+00:00,DE,offshore,19.0,97,1.0,4.39,-0.7771459614569706,-0.6293203910498378,18.8,73,14.0,15.49,0.7547095802227721,-0.6560590289905072,18.6,96,1.0,3.68,-0.6691306063588582,-0.7431448254773942,19.4,95,1.0,3.8,-0.5735764363510462,-0.8191520442889918,0.9499999999999993,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 06:00:00+00:00,DE,offshore,19.0,92,17.0,5.0,-0.6691306063588582,-0.7431448254773942,19.0,72,65.0,14.56,0.7313537016191706,-0.6819983600624984,18.5,91,21.0,4.85,-0.7313537016191705,-0.6819983600624986,19.4,93,16.0,5.11,-0.8090169943749473,-0.5877852522924732,0.9750000000000014,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 07:00:00+00:00,DE,offshore,18.9,94,50.0,8.05,-0.6018150231520484,-0.7986355100472928,19.0,71,215.0,15.61,0.777145961456971,-0.6293203910498373,18.8,94,68.0,8.02,-0.46947156278589086,-0.8829475928589269,19.2,93,55.0,6.46,-0.754709580222772,-0.6560590289905073,0.9750000000000014,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 08:00:00+00:00,DE,offshore,19.1,93,151.0,7.69,-0.5591929034707467,-0.8290375725550418,18.9,71,296.0,16.27,0.788010753606722,-0.6156614753256583,18.8,95,148.0,8.08,-0.5150380749100542,-0.8571673007021123,19.3,92,150.0,6.76,-0.6293203910498376,-0.7771459614569708,1.0249999999999986,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 09:00:00+00:00,DE,offshore,18.8,91,244.0,8.54,-0.5299192642332048,-0.8480480961564261,18.9,73,235.0,15.95,0.8571673007021123,-0.5150380749100543,18.7,93,221.0,8.39,-0.39073112848927355,-0.9205048534524404,18.9,92,230.0,8.19,-0.656059028990507,-0.7547095802227721,0.8250000000000028,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 10:00:00+00:00,DE,offshore,19.0,89,355.0,8.67,-0.3090169943749473,-0.9510565162951536,19.3,73,142.0,16.23,0.7313537016191706,-0.6819983600624984,18.8,88,355.0,8.8,-0.32556815445715676,-0.9455185755993167,19.0,90,272.0,8.3,-0.5000000000000001,-0.8660254037844386,1.0249999999999986,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 11:00:00+00:00,DE,offshore,19.2,88,460.0,10.06,-0.656059028990507,-0.7547095802227721,19.7,73,261.0,14.89,0.766044443118978,-0.6427876096865394,19.0,90,472.0,9.86,-0.5591929034707467,-0.8290375725550418,19.4,86,319.0,9.9,-0.5299192642332048,-0.8480480961564261,1.3249999999999993,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 12:00:00+00:00,DE,offshore,19.1,86,421.0,10.96,-0.5299192642332048,-0.8480480961564261,19.9,73,269.0,14.89,0.7071067811865476,-0.7071067811865475,18.9,88,465.0,10.09,-0.48480962024633695,-0.8746197071393959,19.4,85,351.0,10.92,-0.5591929034707467,-0.8290375725550418,1.3249999999999993,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 13:00:00+00:00,DE,offshore,19.1,86,350.0,10.72,-0.587785252292473,-0.8090169943749476,20.1,73,242.0,14.51,0.5735764363510459,-0.8191520442889919,18.9,87,348.0,11.21,-0.587785252292473,-0.8090169943749476,19.5,83,337.0,10.9,-0.656059028990507,-0.7547095802227721,1.3999999999999986,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 14:00:00+00:00,DE,offshore,19.3,85,343.0,11.5,-0.6946583704589974,-0.7193398003386511,20.2,76,311.0,12.02,0.40673664307580043,-0.9135454576426008,18.9,88,329.0,10.82,-0.5735764363510462,-0.8191520442889918,19.6,83,316.0,10.84,-0.656059028990507,-0.7547095802227721,1.5,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 15:00:00+00:00,DE,offshore,19.6,84,330.0,9.98,-0.6819983600624984,-0.7313537016191706,20.3,76,266.0,12.1,0.4226182617406995,-0.9063077870366499,19.4,84,280.0,10.24,-0.6293203910498376,-0.7771459614569708,20.2,80,290.0,10.01,-0.6427876096865393,-0.766044443118978,1.875,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 16:00:00+00:00,DE,offshore,19.3,86,307.0,9.59,-0.754709580222772,-0.6560590289905073,20.6,75,188.0,14.36,0.3583679495453002,-0.9335804264972017,19.0,88,308.0,9.98,-0.7313537016191705,-0.6819983600624986,19.8,84,313.0,9.35,-0.7880107536067221,-0.6156614753256581,1.6750000000000007,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 17:00:00+00:00,DE,offshore,19.3,87,190.0,9.98,-0.7313537016191705,-0.6819983600624986,20.9,74,60.0,17.58,0.2923717047227366,-0.9563047559630355,19.0,87,159.0,9.92,-0.7880107536067221,-0.6156614753256581,19.8,79,183.0,11.74,-0.656059028990507,-0.7547095802227721,1.75,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 18:00:00+00:00,DE,offshore,19.5,82,67.0,11.78,-0.6946583704589974,-0.7193398003386511,20.4,80,15.0,15.99,0.17364817766693028,-0.984807753012208,19.1,82,73.0,10.95,-0.7193398003386512,-0.6946583704589973,19.8,76,74.0,13.06,-0.754709580222772,-0.6560590289905073,1.6999999999999993,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 19:00:00+00:00,DE,offshore,19.5,78,9.0,12.41,-0.7313537016191705,-0.6819983600624986,20.4,81,0.0,15.33,0.06975647374412552,-0.9975640502598242,19.0,83,9.0,11.4,-0.6427876096865393,-0.766044443118978,18.6,85,6.0,11.6,-0.6018150231520484,-0.7986355100472928,1.375,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 20:00:00+00:00,DE,offshore,19.0,84,0.0,12.77,-0.5299192642332048,-0.8480480961564261,20.1,85,0.0,13.8,-0.19080899537654472,-0.981627183447664,19.2,81,0.0,12.76,-0.587785252292473,-0.8090169943749476,18.3,88,0.0,12.54,-0.587785252292473,-0.8090169943749476,1.1499999999999986,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 21:00:00+00:00,DE,offshore,19.6,84,0.0,13.72,-0.5446390350150271,-0.838670567945424,19.9,86,0.0,11.06,-0.5000000000000001,-0.8660254037844386,19.5,83,0.0,13.51,-0.5735764363510462,-0.8191520442889918,19.0,87,0.0,13.59,-0.5735764363510462,-0.8191520442889918,1.5,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 22:00:00+00:00,DE,offshore,19.1,89,0.0,14.2,-0.4226182617406993,-0.90630778703665,19.5,92,0.0,10.32,-0.7071067811865475,-0.7071067811865477,19.2,87,0.0,14.08,-0.5000000000000001,-0.8660254037844386,18.5,89,0.0,14.94,-0.4539904997395467,-0.8910065241883679,1.0749999999999993,open-meteo,2026-08-31T05:33:31+00:00
2026-08-28 23:00:00+00:00,DE,offshore,19.1,89,0.0,16.04,-0.4226182617406993,-0.90630778703665,19.4,93,0.0,8.33,-0.7986355100472928,-0.6018150231520483,19.1,91,0.0,13.26,-0.5446390350150271,-0.838670567945424,18.8,88,0.0,16.17,-0.46947156278589086,-0.8829475928589269,1.1000000000000014,open-meteo,2026-08-31T05:33:31+00:00
2026-08-29 00:00:00+00:00,DE,offshore,19.2,84,0.0,13.48,-0.8090169943749473,-0.5877852522924732,19.2,92,0.0,8.72,-0.8910065241883678,-0.4539904997395469,19.0,83,0.0,14.02,-0.8290375725550418,-0.5591929034707466,18.7,90,0.0,15.54,-0.6018150231520484,-0.7986355100472928,1.0249999999999986,open-meteo,2026-08-31T05:33:31+00:00
2026-08-29 01:00:00+00:00,DE,offshore,19.1,85,0.0,14.56,-0.874619707139396,-0.48480962024633684,18.8,94,0.0,8.59,-0.913545457642601,-0.4067366430758001,18.8,86,0.0,15.19,-0.8290375725550418,-0.5591929034707466,19.3,83,0.0,12.99,-0.8660254037844384,-0.5000000000000004,1.0,open-meteo,2026-08-31T05:33:31+00:00
2026-08-29 02:00:00+00:00,DE,offshore,18.9,88,0.0,12.45,-0.8191520442889916,-0.5735764363510464,18.6,93,0.0,8.77,-0.9396926207859084,-0.34202014332566855,18.7,85,0.0,14.38,-0.8090169943749473,-0.5877852522924732,19.2,85,0.0,12.72,-0.8191520442889916,-0.5735764363510464,0.8500000000000014,open-meteo,2026-08-31T05:33:31+00:00
2026-08-29 03:00:00+00:00,DE,offshore,18.2,90,0.0,12.49,-0.7880107536067221,-0.6156614753256581,18.4,89,0.0,9.17,-0.9510565162951535,-0.30901699437494756,18.8,82,0.0,13.07,-0.8191520442889916,-0.5735764363510464,18.9,85,0.0,14.9,-0.7193398003386512,-0.6946583704589973,0.5749999999999957,open-meteo,2026-08-31T05:33:31+00:00
2026-08-29 04:00:00+00:00,DE,offshore,18.8,83,0.0,12.84,-0.8910065241883678,-0.4539904997395469,18.1,84,0.0,8.97,-0.9271838545667873,-0.3746065934159123,18.5,87,0.0,12.85,-0.874619707139396,-0.48480962024633684,18.6,87,0.0,12.69,-0.7313537016191705,-0.6819983600624986,0.5,open-meteo,2026-08-31T05:33:31+00:00
2026-08-29 05:00:00+00:00,DE,offshore,18.7,82,2.0,12.16,-0.9205048534524403,-0.3907311284892738,17.5,87,13.0,9.68,-0.8910065241883678,-0.4539904997395469,18.6,82,1.0,12.31,-0.8910065241883678,-0.4539904997395469,18.6,89,0.0,11.07,-0.8571673007021121,-0.5150380749100545,0.3500000000000014,open-meteo,2026-08-31T05:33:31+00:00
