timestamp_utc,country,target,temperature_2m_p1,relative_humidity_2m_p1,shortwave_radiation_p1,wind_speed_100m_ms_p1,wind_dir_sin_p1,wind_dir_cos_p1,temperature_2m_p2,relative_humidity_2m_p2,shortwave_radiation_p2,wind_speed_100m_ms_p2,wind_dir_sin_p2,wind_dir_cos_p2,temperature_2m_p3,relative_humidity_2m_p3,shortwave_radiation_p3,wind_speed_100m_ms_p3,wind_dir_sin_p3,wind_dir_cos_p3,temperature_2m_p4,relative_humidity_2m_p4,shortwave_radiation_p4,wind_speed_100m_ms_p4,wind_dir_sin_p4,wind_dir_cos_p4,deg_proxy,source,updated_at_utc
2026-08-18 00:00:00+00:00,DE,onshore,17.9,72,0.0,7.39,-0.7771459614569708,0.6293203910498375,13.9,87,0.0,7.59,-0.9816271834476639,0.1908089953765451,18.3,76,0.0,0.83,-0.7071067811865475,-0.7071067811865477,13.2,96,0.0,8.65,-0.9396926207859083,0.342020143325669,2.1750000000000007,open-meteo,2026-08-17T15:15:04+00:00
2026-08-18 01:00:00+00:00,DE,onshore,17.8,71,0.0,5.97,-0.7547095802227722,0.656059028990507,12.7,91,0.0,8.31,-0.9563047559630354,0.2923717047227367,17.9,79,0.0,0.88,-2.4492935982947064e-16,1.0,12.6,95,0.0,8.56,-0.9612616959383188,0.2756373558169994,2.75,open-meteo,2026-08-17T15:15:04+00:00
2026-08-18 02:00:00+00:00,DE,onshore,17.9,69,0.0,5.79,-0.8290375725550416,0.559192903470747,12.1,94,0.0,7.02,-0.9205048534524405,0.3907311284892735,17.4,85,0.0,0.96,0.9135454576426009,0.4067366430758002,12.2,96,0.0,8.18,-0.9563047559630354,0.2923717047227367,3.1000000000000014,open-meteo,2026-08-17T15:15:04+00:00
2026-08-18 03:00:00+00:00,DE,onshore,17.9,70,0.0,5.88,-0.9135454576426011,0.40673664307579976,12.0,96,0.0,7.11,-0.9781476007338056,0.20791169081775943,17.0,88,0.0,1.04,0.6560590289905073,-0.754709580222772,12.0,97,0.0,7.19,-0.9563047559630354,0.2923717047227367,3.2750000000000004,open-meteo,2026-08-17T15:15:04+00:00
2026-08-18 04:00:00+00:00,DE,onshore,17.9,71,0.0,4.93,-0.9563047559630354,0.2923717047227367,11.6,96,0.0,8.76,-0.9848077530122081,0.17364817766692997,16.8,90,0.0,0.66,0.8910065241883679,-0.4539904997395467,12.0,97,0.0,6.65,-0.9702957262759966,0.24192189559966745,3.4250000000000007,open-meteo,2026-08-17T15:15:04+00:00
2026-08-18 05:00:00+00:00,DE,onshore,18.0,70,11.0,3.73,-0.9702957262759966,0.24192189559966745,11.7,95,42.0,7.59,-0.9396926207859083,0.342020143325669,16.8,90,2.0,1.47,0.6018150231520482,-0.7986355100472929,12.2,97,24.0,5.48,-0.9848077530122081,0.17364817766692997,3.3249999999999993,open-meteo,2026-08-17T15:15:04+00:00
2026-08-18 06:00:00+00:00,DE,onshore,17.8,77,43.0,4.16,-0.9902680687415703,-0.13917310096006583,13.1,88,160.0,6.78,-0.9816271834476639,0.1908089953765451,17.0,89,16.0,1.29,0.15643446504023098,-0.9876883405951377,13.3,93,98.0,4.02,-0.9986295347545738,0.052335956242943946,2.6999999999999993,open-meteo,2026-08-17T15:15:04+00:00
2026-08-18 07:00:00+00:00,DE,onshore,17.7,80,73.0,4.91,-0.874619707139396,-0.48480962024633684,14.2,82,232.0,7.44,-0.9510565162951536,0.30901699437494723,17.5,87,41.0,1.01,-0.48480962024633695,-0.8746197071393959,14.6,88,163.0,3.14,-0.9702957262759965,-0.24192189559966779,2.0,open-meteo,2026-08-17T15:15:04+00:00
2026-08-18 08:00:00+00:00,DE,onshore,16.8,82,106.0,6.34,-0.7771459614569706,-0.6293203910498378,15.1,76,239.0,6.93,-0.9205048534524405,0.3907311284892735,18.4,83,96.0,2.48,-0.9876883405951377,-0.15643446504023104,15.8,84,213.0,3.16,-0.961261695938319,-0.2756373558169989,1.4750000000000014,open-meteo,2026-08-17T15:15:04+00:00
2026-08-18 09:00:00+00:00,DE,onshore,16.7,83,153.0,8.14,-0.7660444431189779,-0.6427876096865395,16.3,69,340.0,7.3,-0.9659258262890684,0.2588190451025203,19.5,83,132.0,3.97,-0.9612616959383188,0.2756373558169994,16.8,78,261.0,3.95,-0.9925461516413221,-0.12186934340514717,0.6750000000000007,open-meteo,2026-08-17T15:15:04+00:00
