timestamp_utc,country,target,temperature_2m_p1,relative_humidity_2m_p1,shortwave_radiation_p1,wind_speed_100m_ms_p1,wind_dir_sin_p1,wind_dir_cos_p1,temperature_2m_p2,relative_humidity_2m_p2,shortwave_radiation_p2,wind_speed_100m_ms_p2,wind_dir_sin_p2,wind_dir_cos_p2,temperature_2m_p3,relative_humidity_2m_p3,shortwave_radiation_p3,wind_speed_100m_ms_p3,wind_dir_sin_p3,wind_dir_cos_p3,temperature_2m_p4,relative_humidity_2m_p4,shortwave_radiation_p4,wind_speed_100m_ms_p4,wind_dir_sin_p4,wind_dir_cos_p4,deg_proxy,source,updated_at_utc
2026-09-18 00:00:00+00:00,DE,solar,13.8,72,0.0,9.4,-0.6293203910498376,-0.7771459614569708,11.8,89,0.0,8.21,-0.9205048534524403,-0.3907311284892738,14.1,81,0.0,8.73,-0.6819983600624984,-0.7313537016191706,16.5,58,0.0,8.7,-0.8090169943749473,-0.5877852522924732,3.9499999999999993,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 01:00:00+00:00,DE,solar,14.0,71,0.0,10.05,-0.6819983600624984,-0.7313537016191706,12.1,88,0.0,8.51,-0.838670567945424,-0.544639035015027,13.8,83,0.0,7.91,-0.6691306063588582,-0.7431448254773942,16.0,63,0.0,8.32,-0.9781476007338056,-0.2079116908177598,4.024999999999999,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 02:00:00+00:00,DE,solar,13.6,73,0.0,9.01,-0.7193398003386512,-0.6946583704589973,12.9,88,0.0,8.28,-0.8910065241883678,-0.4539904997395469,13.6,86,0.0,7.31,-0.848048096156426,-0.529919264233205,15.1,70,0.0,7.59,-0.913545457642601,-0.4067366430758001,4.199999999999999,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 03:00:00+00:00,DE,solar,13.5,71,0.0,9.01,-0.7193398003386512,-0.6946583704589973,12.4,95,0.0,8.59,-0.7193398003386512,-0.6946583704589973,13.5,90,0.0,7.09,-0.838670567945424,-0.544639035015027,14.3,73,0.0,7.43,-0.656059028990507,-0.7547095802227721,4.574999999999999,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 04:00:00+00:00,DE,solar,13.4,73,0.0,8.76,-0.8090169943749473,-0.5877852522924732,13.2,94,0.0,8.88,-0.9271838545667873,-0.3746065934159123,13.2,91,0.0,7.2,-0.8290375725550418,-0.5591929034707466,14.7,71,0.0,8.24,-0.7071067811865475,-0.7071067811865477,4.375,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 05:00:00+00:00,DE,solar,13.3,75,0.0,7.32,-0.8987940462991668,-0.43837114678907774,13.8,87,0.0,10.17,-0.874619707139396,-0.48480962024633684,13.0,93,0.0,7.62,-0.882947592858927,-0.46947156278589075,14.6,68,0.0,8.07,-0.6427876096865393,-0.766044443118978,4.324999999999999,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 06:00:00+00:00,DE,solar,13.3,82,18.0,8.21,-0.838670567945424,-0.544639035015027,13.7,87,20.0,9.02,-0.9563047559630353,-0.2923717047227371,13.3,91,34.0,7.24,-0.9205048534524403,-0.3907311284892738,14.9,68,5.0,6.76,-0.7771459614569706,-0.6293203910498378,4.200000000000001,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 07:00:00+00:00,DE,solar,13.7,83,69.0,6.93,-0.7071067811865475,-0.7071067811865477,14.3,87,64.0,8.29,-0.9702957262759965,-0.24192189559966779,13.9,87,155.0,6.79,-0.882947592858927,-0.46947156278589075,14.6,75,39.0,6.1,-0.7431448254773944,-0.6691306063588581,3.875,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 08:00:00+00:00,DE,solar,14.5,81,99.0,5.57,-0.7771459614569706,-0.6293203910498378,14.8,82,74.0,9.2,-0.9902680687415703,-0.13917310096006583,15.1,81,290.0,7.37,-0.8090169943749473,-0.5877852522924732,16.3,72,270.0,4.84,-0.9335804264972016,-0.3583679495453007,2.8249999999999993,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 09:00:00+00:00,DE,solar,15.5,79,215.0,5.43,-0.882947592858927,-0.46947156278589075,16.1,74,301.0,9.12,-0.9986295347545738,-0.052335956242944306,16.7,73,428.0,8.06,-0.8987940462991668,-0.43837114678907774,17.0,70,376.0,5.09,-0.961261695938319,-0.2756373558169989,1.6750000000000007,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 10:00:00+00:00,DE,solar,15.9,77,294.0,6.07,-0.9510565162951535,-0.30901699437494756,16.6,69,347.0,11.31,-0.9876883405951377,-0.15643446504023104,17.3,69,465.0,8.98,-0.9510565162951535,-0.30901699437494756,18.0,69,401.0,4.8,-0.9396926207859084,-0.34202014332566855,1.0500000000000007,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 11:00:00+00:00,DE,solar,17.6,69,405.0,6.18,-0.90630778703665,-0.42261826174069916,16.9,69,315.0,9.49,-0.961261695938319,-0.2756373558169989,17.8,65,494.0,9.17,-0.9396926207859084,-0.34202014332566855,18.9,63,492.0,4.03,-0.9975640502598242,-0.06975647374412558,0.20000000000000284,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 12:00:00+00:00,DE,solar,18.3,62,572.0,6.11,-0.961261695938319,-0.2756373558169989,16.6,69,332.0,9.42,-0.9781476007338056,-0.2079116908177598,17.9,63,422.0,8.34,-0.961261695938319,-0.2756373558169989,20.0,49,481.0,6.08,-0.9659258262890683,-0.25881904510252063,0.20000000000000284,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 13:00:00+00:00,DE,solar,19.1,53,490.0,6.72,-0.9205048534524403,-0.3907311284892738,16.9,65,359.0,12.93,-0.9702957262759965,-0.24192189559966779,17.6,64,319.0,9.16,-0.874619707139396,-0.48480962024633684,20.6,45,380.0,5.39,-0.9998476951563913,0.01745240643728313,0.5500000000000007,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 14:00:00+00:00,DE,solar,18.9,62,392.0,6.82,-0.7771459614569706,-0.6293203910498378,15.9,74,156.0,10.97,-0.9455185755993168,-0.32556815445715664,17.4,62,263.0,9.05,-0.9396926207859084,-0.34202014332566855,20.7,40,404.0,5.08,-0.9455185755993168,-0.32556815445715664,0.22499999999999787,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 15:00:00+00:00,DE,solar,18.9,57,251.0,6.54,-0.9455185755993168,-0.32556815445715664,16.5,67,177.0,10.88,-0.981627183447664,-0.1908089953765446,17.6,61,286.0,8.59,-0.9335804264972016,-0.3583679495453007,20.3,43,275.0,4.09,-0.9816271834476639,0.1908089953765451,0.3249999999999993,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 16:00:00+00:00,DE,solar,18.2,55,177.0,5.42,-0.9945218953682734,-0.10452846326765336,15.9,69,122.0,9.96,-0.9743700647852351,-0.22495105434386525,16.8,67,147.0,7.63,-0.913545457642601,-0.4067366430758001,20.1,41,190.0,6.19,-0.9961946980917455,0.08715574274765789,0.25,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 17:00:00+00:00,DE,solar,16.4,61,49.0,6.79,-0.9961946980917455,-0.08715574274765825,15.3,76,44.0,10.05,-0.9335804264972016,-0.3583679495453007,15.8,66,50.0,8.12,-0.9205048534524403,-0.3907311284892738,18.8,43,82.0,6.09,-0.882947592858927,-0.46947156278589075,1.4250000000000007,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 18:00:00+00:00,DE,solar,15.2,62,1.0,7.06,-0.9993908270190958,-0.03489949670250076,14.9,80,1.0,10.96,-0.913545457642601,-0.4067366430758001,14.5,74,3.0,8.08,-0.9205048534524403,-0.3907311284892738,16.5,51,9.0,5.21,-0.9396926207859084,-0.34202014332566855,2.7249999999999996,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 19:00:00+00:00,DE,solar,14.2,69,0.0,6.57,-0.984807753012208,-0.17364817766693033,14.8,77,0.0,11.06,-0.8660254037844384,-0.5000000000000004,14.1,77,0.0,8.88,-0.9271838545667873,-0.3746065934159123,14.9,58,0.0,4.63,-0.9945218953682734,-0.10452846326765336,3.5,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 20:00:00+00:00,DE,solar,13.3,72,0.0,6.44,-0.9876883405951377,-0.15643446504023104,14.7,82,0.0,11.66,-0.882947592858927,-0.46947156278589075,13.2,82,0.0,8.65,-0.9396926207859084,-0.34202014332566855,13.6,63,0.0,4.13,-0.9702957262759965,-0.24192189559966779,4.299999999999999,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 21:00:00+00:00,DE,solar,12.6,74,0.0,6.31,-0.8987940462991668,-0.43837114678907774,14.6,82,0.0,10.56,-0.7986355100472928,-0.6018150231520483,13.3,79,0.0,7.78,-0.8571673007021121,-0.5150380749100545,13.2,65,0.0,5.4,-0.961261695938319,-0.2756373558169989,4.574999999999999,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 22:00:00+00:00,DE,solar,12.2,77,0.0,5.95,-0.9563047559630353,-0.2923717047227371,14.6,81,0.0,10.88,-0.6946583704589974,-0.7193398003386511,13.1,80,0.0,8.1,-0.8191520442889916,-0.5735764363510464,13.0,68,0.0,5.21,-0.961261695938319,-0.2756373558169989,4.775,open-meteo,2026-09-18T17:57:13+00:00
2026-09-18 23:00:00+00:00,DE,solar,12.0,74,0.0,6.02,-0.7986355100472928,-0.6018150231520483,14.6,80,0.0,11.58,-0.587785252292473,-0.8090169943749476,12.7,79,0.0,8.33,-0.656059028990507,-0.7547095802227721,12.5,71,0.0,4.62,-0.9563047559630353,-0.2923717047227371,5.050000000000001,open-meteo,2026-09-18T17:57:13+00:00
2026-09-19 00:00:00+00:00,DE,solar,11.9,74,0.0,6.45,-0.7313537016191705,-0.6819983600624986,14.5,81,0.0,11.76,-0.5000000000000001,-0.8660254037844386,12.5,81,0.0,8.8,-0.6156614753256582,-0.788010753606722,11.9,74,0.0,4.51,-0.8290375725550418,-0.5591929034707466,5.300000000000001,open-meteo,2026-09-18T17:57:13+00:00
2026-09-19 01:00:00+00:00,DE,solar,12.1,74,0.0,7.23,-0.656059028990507,-0.7547095802227721,14.5,82,0.0,11.83,-0.4539904997395467,-0.8910065241883679,12.4,81,0.0,9.54,-0.5591929034707467,-0.8290375725550418,12.1,72,0.0,5.41,-0.6946583704589974,-0.7193398003386511,5.225,open-meteo,2026-09-18T17:57:13+00:00
2026-09-19 02:00:00+00:00,DE,solar,11.9,77,0.0,7.55,-0.6946583704589974,-0.7193398003386511,14.4,86,0.0,11.49,-0.4067366430758002,-0.9135454576426009,12.5,83,0.0,9.73,-0.6427876096865393,-0.766044443118978,12.6,69,0.0,6.37,-0.6018150231520484,-0.7986355100472928,5.15,open-meteo,2026-09-18T17:57:13+00:00
2026-09-19 03:00:00+00:00,DE,solar,11.7,80,0.0,8.13,-0.656059028990507,-0.7547095802227721,14.9,85,0.0,12.8,-0.5446390350150271,-0.838670567945424,12.7,84,0.0,9.93,-0.5150380749100542,-0.8571673007021123,12.7,70,0.0,6.14,-0.5591929034707467,-0.8290375725550418,5.0,open-meteo,2026-09-18T17:57:13+00:00
2026-09-19 04:00:00+00:00,DE,solar,11.4,83,0.0,8.61,-0.656059028990507,-0.7547095802227721,15.1,86,0.0,13.81,-0.5735764363510462,-0.8191520442889918,12.8,82,0.0,9.89,-0.5591929034707467,-0.8290375725550418,12.8,70,0.0,6.85,-0.5591929034707467,-0.8290375725550418,4.975000000000001,open-meteo,2026-09-18T17:57:13+00:00
2026-09-19 05:00:00+00:00,DE,solar,11.4,82,0.0,9.16,-0.6691306063588582,-0.7431448254773942,15.3,88,0.0,12.9,-0.6293203910498376,-0.7771459614569708,13.0,81,0.0,9.78,-0.5735764363510462,-0.8191520442889918,13.1,68,0.0,6.72,-0.6018150231520484,-0.7986355100472928,4.799999999999999,open-meteo,2026-09-18T17:57:13+00:00
2026-09-19 06:00:00+00:00,DE,solar,12.2,80,46.0,9.77,-0.6819983600624984,-0.7313537016191706,15.4,90,2.0,12.82,-0.6293203910498376,-0.7771459614569708,13.3,80,14.0,10.11,-0.587785252292473,-0.8090169943749476,13.5,67,27.0,6.77,-0.5591929034707467,-0.8290375725550418,4.399999999999999,open-meteo,2026-09-18T17:57:13+00:00
2026-09-19 07:00:00+00:00,DE,solar,13.8,74,132.0,7.93,-0.6427876096865393,-0.766044443118978,15.6,91,12.0,13.23,-0.6018150231520484,-0.7986355100472928,13.1,84,24.0,9.97,-0.5446390350150271,-0.838670567945424,15.5,60,106.0,5.4,-0.48480962024633695,-0.8746197071393959,3.5,open-meteo,2026-09-18T17:57:13+00:00
2026-09-19 08:00:00+00:00,DE,solar,15.3,70,209.0,7.49,-0.6819983600624984,-0.7313537016191706,15.8,91,21.0,13.23,-0.6018150231520484,-0.7986355100472928,13.5,84,56.0,9.98,-0.5150380749100542,-0.8571673007021123,17.0,55,266.0,5.49,-0.6427876096865393,-0.766044443118978,2.5999999999999996,open-meteo,2026-09-18T17:57:13+00:00
2026-09-19 09:00:00+00:00,DE,solar,16.6,66,261.0,7.29,-0.754709580222772,-0.6560590289905073,16.0,92,21.0,13.27,-0.656059028990507,-0.7547095802227721,14.1,83,140.0,9.97,-0.5446390350150271,-0.838670567945424,18.5,50,405.0,5.71,-0.6293203910498376,-0.7771459614569708,1.6999999999999993,open-meteo,2026-09-18T17:57:13+00:00
2026-09-19 10:00:00+00:00,DE,solar,18.2,61,330.0,7.28,-0.7431448254773944,-0.6691306063588581,16.7,90,66.0,14.2,-0.6293203910498376,-0.7771459614569708,14.2,86,72.0,9.84,-0.5735764363510462,-0.8191520442889918,19.5,47,468.0,5.98,-0.6427876096865393,-0.766044443118978,0.8500000000000014,open-meteo,2026-09-18T17:57:13+00:00
2026-09-19 11:00:00+00:00,DE,solar,19.3,55,438.0,8.2,-0.874619707139396,-0.48480962024633684,17.0,89,114.0,13.72,-0.6819983600624984,-0.7313537016191706,15.1,85,135.0,9.9,-0.587785252292473,-0.8090169943749476,20.9,45,569.0,5.61,-0.7193398003386512,-0.6946583704589973,0.07499999999999929,open-meteo,2026-09-18T17:57:13+00:00
2026-09-19 12:00:00+00:00,DE,solar,19.0,56,344.0,8.07,-0.874619707139396,-0.48480962024633684,17.4,89,147.0,14.28,-0.6819983600624984,-0.7313537016191706,16.4,82,194.0,9.62,-0.5735764363510462,-0.8191520442889918,21.5,45,563.0,5.69,-0.7431448254773944,-0.6691306063588581,0.5749999999999993,open-meteo,2026-09-18T17:57:13+00:00
2026-09-19 13:00:00+00:00,DE,solar,19.1,58,247.0,7.33,-0.7880107536067221,-0.6156614753256581,17.2,89,61.0,14.49,-0.7313537016191705,-0.6819983600624986,16.5,81,154.0,9.49,-0.6156614753256582,-0.788010753606722,22.4,43,497.0,5.48,-0.754709580222772,-0.6560590289905073,0.7999999999999972,open-meteo,2026-09-18T17:57:13+00:00
2026-09-19 14:00:00+00:00,DE,solar,19.4,56,254.0,7.67,-0.7771459614569706,-0.6293203910498378,17.7,88,97.0,15.01,-0.7880107536067221,-0.6156614753256581,16.8,83,82.0,8.95,-0.6691306063588582,-0.7431448254773942,23.2,40,502.0,5.41,-0.8191520442889916,-0.5735764363510464,1.2749999999999986,open-meteo,2026-09-18T17:57:13+00:00
2026-09-19 15:00:00+00:00,DE,solar,19.4,53,188.0,7.94,-0.7771459614569706,-0.6293203910498378,17.8,88,56.0,14.4,-0.8290375725550418,-0.5591929034707466,17.3,81,90.0,8.31,-0.6946583704589974,-0.7193398003386511,23.2,36,401.0,5.39,-0.90630778703665,-0.42261826174069916,1.4250000000000007,open-meteo,2026-09-18T17:57:13+00:00
2026-09-19 16:00:00+00:00,DE,solar,19.1,55,107.0,8.02,-0.7771459614569706,-0.6293203910498378,18.0,87,48.0,14.12,-0.874619707139396,-0.48480962024633684,17.3,83,52.0,8.86,-0.6156614753256582,-0.788010753606722,22.2,40,223.0,5.4,-0.9781476007338056,-0.2079116908177598,1.1500000000000021,open-meteo,2026-09-18T17:57:13+00:00
2026-09-19 17:00:00+00:00,DE,solar,17.8,63,49.0,7.76,-0.6946583704589974,-0.7193398003386511,17.8,86,40.0,13.89,-0.90630778703665,-0.42261826174069916,17.7,77,21.0,10.39,-0.6946583704589974,-0.7193398003386511,20.6,42,92.0,6.23,-0.9743700647852351,-0.22495105434386525,0.4750000000000014,open-meteo,2026-09-18T17:57:13+00:00
2026-09-19 18:00:00+00:00,DE,solar,17.5,65,1.0,9.35,-0.7071067811865475,-0.7071067811865477,17.7,85,4.0,14.17,-0.913545457642601,-0.4067366430758001,17.6,76,1.0,10.36,-0.7660444431189779,-0.6427876096865395,18.7,51,6.0,5.09,-0.8660254037844384,-0.5000000000000004,0.125,open-meteo,2026-09-18T17:57:13+00:00
2026-09-19 19:00:00+00:00,DE,solar,17.0,67,0.0,9.58,-0.7431448254773944,-0.6691306063588581,17.6,87,0.0,13.43,-0.8660254037844384,-0.5000000000000004,17.4,77,0.0,10.82,-0.7880107536067221,-0.6156614753256581,17.7,58,0.0,7.58,-0.6427876096865393,-0.766044443118978,0.5749999999999993,open-meteo,2026-09-18T17:57:13+00:00
2026-09-19 20:00:00+00:00,DE,solar,16.5,70,0.0,9.93,-0.754709580222772,-0.6560590289905073,17.6,89,0.0,13.56,-0.9205048534524403,-0.3907311284892738,17.4,77,0.0,10.93,-0.7660444431189779,-0.6427876096865395,17.9,56,0.0,7.79,-0.7660444431189779,-0.6427876096865395,0.6499999999999986,open-meteo,2026-09-18T17:57:13+00:00
2026-09-19 21:00:00+00:00,DE,solar,16.3,71,0.0,9.8,-0.754709580222772,-0.6560590289905073,17.3,83,0.0,10.96,-0.9925461516413221,-0.12186934340514717,17.1,79,0.0,10.51,-0.7771459614569706,-0.6293203910498378,17.3,59,0.0,6.09,-0.7986355100472928,-0.6018150231520483,1.0,open-meteo,2026-09-18T17:57:13+00:00
