timestamp_utc,country,target,temperature_2m_p1,relative_humidity_2m_p1,shortwave_radiation_p1,wind_speed_100m_ms_p1,wind_dir_sin_p1,wind_dir_cos_p1,temperature_2m_p2,relative_humidity_2m_p2,shortwave_radiation_p2,wind_speed_100m_ms_p2,wind_dir_sin_p2,wind_dir_cos_p2,temperature_2m_p3,relative_humidity_2m_p3,shortwave_radiation_p3,wind_speed_100m_ms_p3,wind_dir_sin_p3,wind_dir_cos_p3,temperature_2m_p4,relative_humidity_2m_p4,shortwave_radiation_p4,wind_speed_100m_ms_p4,wind_dir_sin_p4,wind_dir_cos_p4,deg_proxy,source,updated_at_utc
2026-09-02 00:00:00+00:00,FR,onshore,24.0,53,0.0,5.1,-0.9816271834476639,0.1908089953765451,13.0,86,0.0,2.27,-0.12186934340514723,0.9925461516413221,13.9,84,0.0,3.24,0.9986295347545738,0.052335956242943966,15.3,70,0.0,1.4,-0.4226182617406992,0.90630778703665,1.4499999999999993,open-meteo,2026-09-02T18:07:59+00:00
2026-09-02 01:00:00+00:00,FR,onshore,23.2,55,0.0,5.18,-0.9848077530122081,0.17364817766692997,13.0,86,0.0,1.77,-0.3255681544571567,0.9455185755993168,13.7,85,0.0,2.45,0.9993908270190958,-0.034899496702500955,15.7,67,0.0,1.94,-0.7071067811865477,0.7071067811865474,1.5999999999999979,open-meteo,2026-09-02T18:07:59+00:00
2026-09-02 02:00:00+00:00,FR,onshore,22.7,56,0.0,4.95,-0.9702957262759966,0.24192189559966745,12.7,87,0.0,0.88,-0.45399049973954697,0.8910065241883678,13.4,86,0.0,1.84,0.90630778703665,-0.42261826174069933,15.6,66,0.0,1.82,-0.8090169943749476,0.5877852522924729,1.9000000000000021,open-meteo,2026-09-02T18:07:59+00:00
2026-09-02 03:00:00+00:00,FR,onshore,22.1,58,0.0,4.46,-0.9612616959383188,0.2756373558169994,12.5,88,0.0,2.07,-0.5150380749100545,0.8571673007021121,13.4,87,0.0,1.4,0.20791169081775931,-0.9781476007338057,14.0,71,0.0,3.08,-0.6018150231520483,0.7986355100472928,2.5,open-meteo,2026-09-02T18:07:59+00:00
2026-09-02 04:00:00+00:00,FR,onshore,21.8,58,0.0,4.95,-0.9902680687415704,0.13917310096006547,12.4,90,0.0,1.81,-0.6560590289905074,0.7547095802227719,13.7,84,0.0,0.31,-0.9510565162951535,-0.30901699437494756,13.6,76,0.0,2.94,-0.4383711467890778,0.8987940462991668,2.6249999999999982,open-meteo,2026-09-02T18:07:59+00:00
2026-09-02 05:00:00+00:00,FR,onshore,21.5,60,0.0,4.41,-0.9975640502598243,0.06975647374412522,12.1,91,0.0,1.23,-0.8746197071393956,0.4848096202463373,12.9,88,0.0,0.88,-0.4539904997395467,-0.8910065241883679,13.6,78,0.0,2.82,-0.3420201433256686,0.9396926207859084,2.9749999999999996,open-meteo,2026-09-02T18:07:59+00:00
2026-09-02 06:00:00+00:00,FR,onshore,21.8,60,20.8,4.88,-0.9816271834476639,0.1908089953765451,12.4,91,33.0,2.51,-0.7771459614569708,0.6293203910498375,13.4,88,29.0,0.84,-0.8090169943749473,-0.5877852522924732,13.1,84,20.0,2.15,-0.5000000000000004,0.8660254037844384,2.8249999999999993,open-meteo,2026-09-02T18:07:59+00:00
2026-09-02 07:00:00+00:00,FR,onshore,24.6,52,157.4,3.96,-0.9848077530122081,0.17364817766692997,14.9,84,144.0,1.31,-0.891006524188368,0.45399049973954664,15.9,82,119.0,1.31,-0.891006524188368,0.45399049973954664,17.7,67,161.0,2.82,-0.3420201433256686,0.9396926207859084,0.2749999999999986,open-meteo,2026-09-02T18:07:59+00:00
2026-09-02 08:00:00+00:00,FR,onshore,28.6,42,339.5,4.3,-0.9063077870366499,0.4226182617406996,17.4,69,277.0,1.32,-0.7431448254773946,0.6691306063588578,18.1,72,309.0,1.47,-0.798635510047293,0.6018150231520479,20.0,58,332.0,2.2,-0.529919264233205,0.848048096156426,3.0249999999999986,open-meteo,2026-09-02T18:07:59+00:00
2026-09-02 09:00:00+00:00,FR,onshore,30.0,38,514.9,4.28,-0.798635510047293,0.6018150231520479,19.4,59,415.0,0.93,-0.3090169943749476,0.9510565162951535,19.8,63,417.0,1.85,-0.529919264233205,0.848048096156426,21.4,55,497.0,3.84,-0.6156614753256582,0.788010753606722,4.649999999999999,open-meteo,2026-09-02T18:07:59+00:00
